Focal,Beh,Rec,Mins
Pe,groom,Ba,4
Pe,groom,Ba,5
Pe,In contact,Ba,5
Pe,groom,Ba,8
Pe,In contact,Ba,8
Pe,In contact,Ba,11
Pe,In contact,Ba,24
Pe,groom,Db,2
Pe,In contact,Db,4
Pe,In contact,Dl,5
Pe,groom,Pi,1
Pe,In contact,Pi,1
Pe,groom,Pi,1
Pe,groom,Pi,1
Pe,groom,Pi,2
Pe,In contact,Pi,2
Ku,In contact,Dl,4
Ku,groom,Ki,1
Ku,In contact,Ki,1
Ku,groom,Ko,1
Ku,In contact,Nw,1
Pe,In contact,Ba,13
Pe,groom,Pi,1
Pe,play,Pi,1
Pe,play,Pi,1
Pe,play,Pi,1
RK,groom,Ba,2
RK,In contact,Ba,2
RK,In contact,Db,3
RK,In contact,Db,5
RK,groom,Dl,1
RK,In contact,Dl,1
RK,In contact,Nw,1
RK,groom,Nw,1
RK,In contact,Nw,1
RK,In contact,Nw,1
RK,In contact,Nw,2
RK,groom,Nw,2
RK,In contact,Nw,3
Ku,In contact,Ki,1
Ku,groom,Ki,1
Ku,groom,Ki,1
Ku,groom,Ki,6
Ku,In contact,Ki,15
Ku,groom,Ko,1
Ku,play,Ko,1
Ku,groom,Ko,2
Ku,groom,Ko,2
Ku,groom,Ko,0
Ku,groom,Nw,1
Ku,In contact,Nw,3
Ku,In contact,Pe,1
Ku,In contact,Pe,10
Ku,In contact,Vi,4
Ku,In contact,Wa,1
Wa,In contact,Ba,40
Wa,In contact,Nw,15
Wa,groom,Vi,20
Ba,In contact,RK,1
Ba,In contact,RK,30
Nw,In contact,Wa,5
Nw,In contact,Ba,5
Wa,groom,Ba,1
Wa,groom,Ba,1
Wa,groom,Ba,2
Wa,groom,Ba,3
Wa,In contact,Ba,3
Wa,In contact,Ba,9
Wa,groom,Ba,10
RK,groom,Ba,35
Ba,groom,RK,1
Ba,groom,RK,9
Ba,In contact,RK,9
Ba,In contact,RK,11
Ba,groom,RK,19
Pe,groom,Pi,1
Pe,In contact,Pi,10
Pe,In contact,Pi,163
Ba,groom,Bo,4
Ba,groom,Bo,5
Ba,groom,Db,3
Ba,groom,Db,13
Ba,groom,Dl,1
Ba,In contact,Dl,1
Ba,groom,Dl,1
Ba,In contact,Dl,2
Ba,groom,Dl,2
Ba,groom,Dl,5
Ba,In contact,Dl,7
Ba,In contact,Dl,10
Ba,In contact,Dl,46
Ba,In contact,Dl,10
Ba,In contact,Wa,1
Ba,groom,Wa,1
Ba,In contact,Wa,1
Ba,groom,Wa,1
Ba,groom,Wa,4
Ba,groom,Wa,0
Nw,mating,Pe,20
Pe,groom,Nw,2
Pe,In contact,Pi,11
Pe,mating,Wa,11
Wa,groom,Ba,20
Wa,In contact,Dl,5
Dl,In contact,Ba,1
Dl,In contact,Ba,18
Dl,groom,Db,3
Dl,groom,Db,4
Dl,groom,Db,10
Dl,In contact,Db,25
Dl,In contact,Db,15
Dl,In contact,Db,5
Dl,In contact,Nw,1
RK,groom,Ba,40
RK,groom,Ba,25
RK,groom,Db,20
Wa,groom,Vi,5
Nw,groom,Ba,20
Nw,groom,Ba,20
Nw,groom,Ba,35
Nw,groom,RK,20
Nw,groom,RK,5
Nw,groom,Wa,5
Vt,play ,Pi,1
Vt,In contact,Pi,10
Vt,groom,Vi,2
Vt,In contact,Vi,3
Vt,In contact,Vi,12
Vt,In contact,Vi,10
Vt,play ,Vn,2
Vt,In contact,Vn,15
Vt,groom,Vi,1
Vt,In contact,Vt,6
Wa,In contact,Nw,1
Ku,groom,Ko,1
Ku,groom,Ko,2
Ku,In contact,Vi,10
RK,groom,Ba,1
RK,groom,Db,1
RK,In contact,Dl,1
RK,In contact,Db,1
RK,groom,Db,4
RK,groom,Nw,1
RK,In contact,Nw,3
RK,In contact,Vi,1
RK,In contact,Vi,2
RK,In contact,Vi,6
RK,In contact,Vi,16
RK,In contact,Pe,1
RK,groom,Pe,1
RK,In contact,Pe,3
RK,In contact,Pe,3
RK,In contact,Pe,12
RK,groom,Pi,1
Db,play ,Ba,1
Db,play ,Bo,1
Db,play,Bo,5
Db,groom,Dl,1
Db,groom,Dl,2
Db,groom,Dl,4
Dl,In contact,Ba,1
Dl,In contact,Ba,2
Dl,groom,Ba,2
Dl,In contact,Ba,2
Dl,In contact,Ba,3
Dl,groom,Db,1
Dl,groom,Db,2
Dl,groom,Db,5
Dl,groom,Db,11
Dl,In contact,Db,16
Dl,In contact,Db,18
Dl,In contact,Nw,1
Dl,groom,Nw,9
Dl,In contact,Nw,11
Dl,groom,RK,2
Dl,In contact,RK,6
Dl,In contact,RK,7
Dl,In contact,RK,13
Ba,play ,Db,2
Vt,In contact,Vi,10
Pe,In contact,Pi,1
Pe,In contact,Pi,1
Ku,In contact,Ba,1
Ku,groom,Ba,3
Ku,groom,Ba,3
Ku,groom,Ba,4
Ku,groom,Ba,5
Ku,groom,Ko,1
Ku,play,Ko,1
Ku,groom,Ko,4
Ku,In contact,Nw,1
Ku,groom,Wa,1
Vi,In contact,Ku,1
Vi,groom,Vi,2
Vi,In contact,Vi,7
Vi,In contact,Vt,1
Vi,play ,Vt,3
Vi,In contact,Vt,43
Vi,groom,Wa,2
Vi,groom,Wa,4
Vi,In contact,Wa,5
Vi,In contact,Wa,6
Vi,In contact,Wa,7
Vi,groom,Wa,8
Vi,In contact,Wa,8
Ku,In contact,Db,1
Ku,groom,Dl,1
Ku,embrace,Dl,1
Ku,In contact,Dl,2
Ku,groom,Ko,1
Ku,In contact,Ko,4
Ku,In contact,Nw,1
Ku,In contact,Pe,1
Ku,In contact,Vi,4
Ku,In contact,Vi,4
Ku,groom,Wa,2
Nw,In contact,Dl,3
Nw,In contact,Ku,9
Ba,play,Bo,3
Ba,groom,Bo,3
Ba,groom,Bo,5
Ba,groom,Bo,8
Ba,In contact,Bo,24
Ba,In contact,Dl,1
Ba,groom,Dl,3
Ba,groom,Dl,3
Ba,In contact,Dl,3
Ba,groom,Dl,7
Ba,groom,Dl,7
Ba,In contact,Dl,20
Ba,mating,Vt,1
Ba,mating,Vt,4
Ba,mating,Vt,5
Ba,mating,Vt,8
Vi,groom,Vn,1
Pe,groom,Pi,1
Pe,groom,Pi,1
Pe,groom,Pi,1
Pe,groom,Pi,1
Pe,groom,Pi,1
Pe,groom,Pi,1
Pe,In contact,Pi,6
Pe,groom,Pi,6
Pe,In contact,Pi,9
Pe,In contact,Pi,9
Pe,In contact,Pi,38
Ba,In contact,Bo,6
Ba,In contact,Bo,9
Ba,In contact,Bo,10
Ba,In contact,Bo,1
Ba,groom,Dl,6
Ba,groom,Dl,9
Ba,groom,Dl,10
Dl,groom,Ba,6
Dl,In contact,Ba,6
Dl,groom,Ba,9
Dl,In contact,Ba,9
Dl,groom,Ba,10
Dl,In contact,Ba,10
Ba,In contact,Bo,1
Ba,In contact,Bo,1
Ba,In contact,Bo,1
Ba,In contact,Bo,1
Ba,In contact,Bo,1
Ba,In contact,Bo,3
Ba,In contact,Bo,8
Ba,In contact,Bo,19
Ba,groom,Bo,1
Ba,groom,Bo,3
Ba,groom,Dl,1
Ba,groom,Dl,4
Ba,groom,Dl,4
Ba,groom,Dl,5
Ba,In contact,Dl,6
Ba,groom,Dl,8
Dl,In contact,Ba,1
Dl,groom,Ba,1
Dl,In contact,Ba,1
Dl,groom,Ba,4
Dl,In contact,Ba,4
Dl,groom,Ba,4
Dl,groom,Ba,5
Dl,In contact,Ba,6
Dl,groom,Ba,8
Dl,In contact,Ba,8
Dl,In contact,Ba,19
Dl,groom,Db,1
Dl,In contact,Db,1
Dl,groom,Db,2
Dl,groom,Db,3
Dl,groom,Db,5
Dl,In contact,Db,10
Dl,groom,Db,25
Dl,In contact,Db,30
Dl,groom,Nw,1
Dl,In contact,Nw,1
Dl,groom,Nw,1
Dl,groom,Nw,1
Dl,groom,Nw,2
Dl,In contact,Nw,2
Dl,groom,Nw,2
Dl,In contact,Nw,4
Dl,In contact,Nw,4
Dl,In contact,Nw,8
Dl,groom,Wa,2
Dl,groom,Wa,4
Dl,groom,Wa,5
Dl,In contact,Wa,5
Dl,In contact,Wa,9
Ba,groom,Bo,1
Ba,groom,Dl,1
Ba,groom,Dl,7
Ba,In contact,Dl,7
Ba,groom,Nw,5
Ba,In contact,Nw,5
Ba,groom,Nw,5
Ba,In contact,Nw,5
Dl,In contact,Ba,1
Dl,In contact,Db,2
Dl,In contact,Db,1
Dl,groom,Db,1
Dl,In contact,Db,2
Dl,In contact,Db,7
Dl,groom,Db,7
Dl,groom,RK,1
Dl,groom,RK,2
Dl,groom,RK,5
Dl,In contact,RK,13
Dl,In contact,RK,14
Dl,In contact,Wa,1
Dl,groom,Wa,1
Pe,In contact,Db,4
Pe,groom,Pi,1
Pe,In contact,Pi,4
Pe,groom,Pi,4
Pe,In contact,Pi,11
Pe,In contact,Pi,37
Vi,In contact,Ku,2
Vi,In contact,Ku,2
Ba,groom,Bo,2
Ba,groom,Ku,2
Ba,In contact,Ku,2
Ba,groom,Pe,2
Ba,In contact,Pe,2
Ba,groom,Pe,3
Ba,groom,Pe,4
Ba,In contact,Pe,4
Ba,groom,Pe,4
Ba,In contact,Pe,4
Ba,groom,Pi,1
Ba,In contact,Pi,1
Ba,groom,Pi,4
Ba,In contact,Pi,4
Ba,In contact,Wa,2
Ku,groom,Ba,5
Ku,In contact,Ba,5
Ku,groom,Ba,18
Ku,In contact,Ba,18
Ku,In contact,Dl,1
Ku,groom,Ko,2
Pe,groom,Ba,2
Pe,groom,Ba,2
Pe,In contact,Ba,2
Pe,groom,Ba,5
Pe,In contact,Ba,5
Pe,groom,Ba,5
Pe,In contact,Ba,5
Pe,In contact,Ku,1
Pe,groom,Nw,1
Pe,In contact,Nw,1
Pe,In contact,Nw,1
Pe,play,Nw,1
Pe,In contact,Nw,2
Pe,groom,RK,2
Pe,groom,RK,2
Pe,In contact,RK,4
Pe,In contact,RK,21
Pe,In contact,Vi,2
Pe,In contact,Vt,1
Pe,groom,Wa,1
Pe,groom,Wa,2
Pe,groom,Wa,2
Pe,groom,Wa,3
Pe,In contact,Wa,6
Pe,groom,Wa,7
Pe,In contact,Wa,15
Pe,In contact,Wa,16
Vi,In contact,Db,4
Vi,In contact,Dl,6
Vi,In contact,Dl,7
Vi,groom,Vn,1
Vi,play,Vn,1
Vi,groom,Vt,1
Vi,groom,Vt,2
Vi,In contact,Vt,2
Vi,In contact,Vt,4
Vi,In contact,Vt,12
Vi,In contact,Wa,1
Vi,groom,Wa,1
Vi,In contact,Wa,1
Vi,groom,Wa,1
Vi,groom,Wa,1
Vi,groom,Wa,2
Vi,groom,Wa,2
Vi,groom,Wa,2
Vi,In contact,Wa,4
Vi,In contact,Wa,13
Pe,groom,Pi,1
Pe,groom,Wa,3
