Date,actor,receiver,group,tr.prop.gr,n.swollen,sw.act,sw.rec,rank.act,rank.rec,age.act,age.rec,z.rank.act,z.rank.rec,z.age.act,z.age.rec,dyad
7/23/12,lc,dn,3,0.233910738,3,MIN,MAX,4.11,5.57,9,44,-0.127148048,1.283232562,-0.536083295,1.956911839,"lc,,dn"
7/24/12,lc,ln,3,0.20752446,4,MAX,MAX,4.11,3.42,9,9,-0.127148048,-1.276140781,-0.536083295,-0.659195414,"lc,,ln"
7/24/12,ln,lc,3,0.435073138,4,MAX,MAX,3.42,4.11,9,9,-1.001678522,-0.454760499,-0.536083295,-0.659195414,"ln,,lc"
7/24/12,ky,lc,3,0.994680851,4,MAX,MAX,4.66,4.11,11,9,0.569941461,-0.454760499,-0.355143152,-0.659195414,"ky,,lc"
7/24/12,lc,ky,3,0.637210747,4,MAX,MAX,4.11,4.66,9,11,-0.127148048,0.199962915,-0.536083295,-0.509703571,"lc,,ky"
7/24/12,ln,dn,3,0.564926862,4,MAX,MAX,3.42,5.57,9,44,-1.001678522,1.283232562,-0.536083295,1.956911839,"ln,,dn"
7/25/12,lc,ln,3,0.994680851,4,MAX,MAX,4.11,3.42,9,9,-0.127148048,-1.276140781,-0.536083295,-0.659195414,"lc,,ln"
7/25/12,ln,lc,3,0.994680851,4,MAX,MAX,3.42,4.11,9,9,-1.001678522,-0.454760499,-0.536083295,-0.659195414,"ln,,lc"
7/26/12,lc,ln,3,0.093724662,4,MAX,MAX,4.11,3.42,9,9,-0.127148048,-1.276140781,-0.536083295,-0.659195414,"lc,,ln"
7/26/12,lc,dn,3,0.906275338,4,MAX,MAX,4.11,5.57,9,44,-0.127148048,1.283232562,-0.536083295,1.956911839,"lc,,dn"
7/27/12,lc,ln,3,0.658489982,4,MAX,MAX,4.11,3.42,9,9,-0.127148048,-1.276140781,-0.536083295,-0.659195414,"lc,,ln"
7/27/12,ln,lc,3,0.994680851,4,MAX,MAX,3.42,4.11,9,9,-1.001678522,-0.454760499,-0.536083295,-0.659195414,"ln,,lc"
7/27/12,dn,lc,3,0.009511359,4,MAX,MAX,5.57,4.11,44,9,1.723307739,-0.454760499,2.630369202,-0.659195414,"dn,,lc"
7/27/12,lc,ky,3,0.341510018,4,MAX,MAX,4.11,4.66,9,11,-0.127148048,0.199962915,-0.536083295,-0.509703571,"lc,,ky"
7/28/12,lc,ln,3,0.043956943,4,MAX,MAX,4.11,3.42,9,9,-0.127148048,-1.276140781,-0.536083295,-0.659195414,"lc,,ln"
7/28/12,ln,lc,3,0.994680851,4,MAX,MAX,3.42,4.11,9,9,-1.001678522,-0.454760499,-0.536083295,-0.659195414,"ln,,lc"
7/28/12,ky,lc,3,0.898581888,4,MAX,MAX,4.66,4.11,11,9,0.569941461,-0.454760499,-0.355143152,-0.659195414,"ky,,lc"
7/28/12,dn,lc,3,0.994680851,4,MAX,MAX,5.57,4.11,44,9,1.723307739,-0.454760499,2.630369202,-0.659195414,"dn,,lc"
7/28/12,lc,ky,3,0.098986529,4,MAX,MAX,4.11,4.66,9,11,-0.127148048,0.199962915,-0.536083295,-0.509703571,"lc,,ky"
7/28/12,lc,dn,3,0.662161651,4,MAX,MAX,4.11,5.57,9,44,-0.127148048,1.283232562,-0.536083295,1.956911839,"lc,,dn"
7/29/12,lc,ln,3,0.072595745,4,MAX,MAX,4.11,3.42,9,9,-0.127148048,-1.276140781,-0.536083295,-0.659195414,"lc,,ln"
7/29/12,ln,lc,3,0.601504658,4,MAX,MAX,3.42,4.11,9,9,-1.001678522,-0.454760499,-0.536083295,-0.659195414,"ln,,lc"
7/29/12,ky,lc,3,0.947568389,4,MAX,MAX,4.66,4.11,11,9,0.569941461,-0.454760499,-0.355143152,-0.659195414,"ky,,lc"
7/29/12,dn,lc,3,0.56328815,4,MAX,MAX,5.57,4.11,44,9,1.723307739,-0.454760499,2.630369202,-0.659195414,"dn,,lc"
7/29/12,ln,ky,3,0.398495342,4,MAX,MAX,3.42,4.66,9,11,-1.001678522,0.199962915,-0.536083295,-0.509703571,"ln,,ky"
7/29/12,lc,dn,3,0.887829787,4,MAX,MAX,4.11,5.57,9,44,-0.127148048,1.283232562,-0.536083295,1.956911839,"lc,,dn"
7/31/12,ln,lc,3,0.559961316,4,MAX,MAX,3.42,4.11,9,9,-1.001678522,-0.454760499,-0.536083295,-0.659195414,"ln,,lc"
7/31/12,ky,lc,3,0.994680851,4,MAX,MAX,4.66,4.11,11,9,0.569941461,-0.454760499,-0.355143152,-0.659195414,"ky,,lc"
7/31/12,ln,ky,3,0.440038684,4,MAX,MAX,3.42,4.66,9,11,-1.001678522,0.199962915,-0.536083295,-0.509703571,"ln,,ky"
7/31/12,lc,ky,3,0.994680851,4,MAX,MAX,4.11,4.66,9,11,-0.127148048,0.199962915,-0.536083295,-0.509703571,"lc,,ky"
8/3/12,lc,ln,3,0.341157525,3,MAX,MAX,4.11,3.42,9,9,-0.127148048,-1.276140781,-0.536083295,-0.659195414,"lc,,ln"
8/3/12,ln,lc,3,0.994680851,3,MAX,MAX,3.42,4.11,9,9,-1.001678522,-0.454760499,-0.536083295,-0.659195414,"ln,,lc"
8/3/12,ky,lc,3,0.994680851,3,MAX,MAX,4.66,4.11,11,9,0.569941461,-0.454760499,-0.355143152,-0.659195414,"ky,,lc"
8/3/12,lc,ky,3,0.658842475,3,MAX,MAX,4.11,4.66,9,11,-0.127148048,0.199962915,-0.536083295,-0.509703571,"lc,,ky"
8/7/12,lc,ln,3,0.517271757,2,MAX,MAX,4.11,3.42,9,9,-0.127148048,-1.276140781,-0.536083295,-0.659195414,"lc,,ln"
8/7/12,ln,lc,3,0.531414957,2,MAX,MAX,3.42,4.11,9,9,-1.001678522,-0.454760499,-0.536083295,-0.659195414,"ln,,lc"
8/7/12,lc,ky,3,0.478299587,2,MAX,MIN,4.11,4.66,9,11,-0.127148048,0.199962915,-0.536083295,-0.509703571,"lc,,ky"
8/7/12,dn,ky,3,0.671047714,2,MIN,MIN,5.57,4.66,44,11,1.723307739,0.199962915,2.630369202,-0.509703571,"dn,,ky"
